zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en calle de Luisa Fernanda, Argüelles, Madrid",€3.070.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Maldonado, Castellana, Madrid",€3.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Maldonado, Lista, Madrid",€1.555.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Manuel González Longoria, Trafalgar, Madrid",€4.400.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de María de las Mercedes de Borbón, 282, Valdebebas - Valdefuentes, Madrid",€979.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de María de las Mercedes de Borbón, Valdebebas - Valdefuentes, Madrid",€1.958.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de María Zayas, 10, Berruguete, Madrid",€699.999,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Mauricio Legendre, Castilla, Madrid",€489.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Medina del Campo, 18, Cuatro Vientos, Madrid",€975.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Meléndez Valdés, 7, Gaztambide, Madrid",€260.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Núñez de Balboa, Castellana, Madrid",€4.648.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Núñez de Balboa, Recoletos, Madrid",€10.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Ortiz Campos, Pradolongo, Madrid",€429.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Oslo, Rosas, Madrid",€659.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Oviedo, Cuatro Caminos, Madrid",€740.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Pablo Vidal, Colina, Madrid",€1.050.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Padilla, Lista, Madrid",€2.798.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Pedro Rico, 31, La Paz, Madrid",€978.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Pelayo, 21, Chueca-Justicia, Madrid",€410.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Peñaranda de Bracamonte, Ensanche de Vallecas - La Gavia, Madrid",€529.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Pirra, Rejas, Madrid",€420.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Preciados, Sol, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Puenteareas, Prosperidad, Madrid",€835.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Quijada de Pandiellos, San Diego, Madrid",€219.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Rafael Bergamín, San Juan Bautista, Madrid",€470.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Rafael Calvo, Almagro, Madrid",€1.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Raimundo Fernández Villaverde, s/n, Cuatro Caminos, Madrid",€1.090.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Recoletos, Recoletos, Madrid",€2.590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Roberto Domingo, Guindalera, Madrid",€1.595.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Romero Robledo, 13, Argüelles, Madrid",€1.170.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Rufino González, Simancas, Madrid",€849.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de San Agustín, Huertas-Cortes, Madrid",€1.700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de San Cipriano, 65, Valdebernardo - Valderrivas, Madrid",€525.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de San Hermenegildo, Malasaña-Universidad, Madrid",€625.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de San Marcos, Chueca-Justicia, Madrid",€800.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de San Máximo, 25, San Fermín, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de San Romualdo, Simancas, Madrid",€420.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Sancho Dávila, Fuente del Berro, Madrid",€665.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Santa Isabel, Lavapiés-Embajadores, Madrid",€275.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Santa María Salomé, Casco Histórico de Vallecas, Madrid",€315.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Santa María, Huertas-Cortes, Madrid",€610.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Santa Susana, Pinar del Rey, Madrid",€295.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Serrano, 215, Bernabéu-Hispanoamérica, Madrid",€850.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Sofía, 10, Rosas, Madrid",€680.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Sta Hortensia, 58, Prosperidad, Madrid",€1.575.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Tarragona, Palos de la Frontera, Madrid",€1.755.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Toledo, 28, Sol, Madrid",€370.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Tomás López, Goya, Madrid",€639.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Urgel, 8, San Isidro, Madrid",€200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Valcarlos, 14, Las Tablas, Madrid",€720.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Valcarlos, 29, Las Tablas, Madrid",€960.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Valverde, Malasaña-Universidad, Madrid",€6.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Velázquez, Castellana, Madrid",€4.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Velázquez, El Viso, Madrid",€2.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Víctor de la Serna, Bernabéu-Hispanoamérica, Madrid",€730.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Villaamil, 68, Berruguete, Madrid",€393.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Villacañas, 1, Casco Histórico de Vallecas, Madrid",€500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Villalar, Recoletos, Madrid",€2.390.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Villamayor de Santiago, 23, Ensanche de Vallecas - La Gavia, Madrid",€509.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Villamayor de Santiago, Ensanche de Vallecas - La Gavia, Madrid",€539.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Vital Aza, Pueblo Nuevo, Madrid",€285.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Yocasta, Rejas, Madrid",€725.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Zabaleta, 68, Prosperidad, Madrid",€410.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Zurbano, Almagro, Madrid",€10.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Abedul, Nueva España, Madrid",€2.600.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Alcalde Sainz de Baranda, 88, Estrella, Madrid",€1.380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Almanzora, Aravaca, Madrid",€1.530.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Áncora, Palos de la Frontera, Madrid",€340.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Aviador Zorita, 25, Cuatro Caminos, Madrid",€760.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Balandro, s/n, Alameda de Osuna, Madrid",€450.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Barquillo, Chueca-Justicia, Madrid",€749.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Carril de los Caleros, Aravaca, Madrid",€1.335.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Clavel, Chueca-Justicia, Madrid",€1.859.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Concejal Francisco José Jiménez Martín, 110, Los Cármenes, Madrid",€590.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Conde de Miranda, 1, Palacio, Madrid",€830.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Conde de Peñalver, Goya, Madrid",€6.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Conde de Peñalver, Lista, Madrid",€1.550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Doctor Castelo, Ibiza, Madrid",€4.100.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Doctor Esquerdo, Niño Jesús, Madrid",€1.560.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Galeón, 28, Alameda de Osuna, Madrid",€538.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del General Díaz Porlier, Lista, Madrid",€1.700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del General Pardiñas, Lista, Madrid",€3.735.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del General Pardiñas, s/n, Lista, Madrid",€1.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Jardín de San Federico, Goya, Madrid",€1.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Jazmín, 29, Costillares, Madrid",€749.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Jazmín, Costillares, Madrid",€1.190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del León, 10, Huertas-Cortes, Madrid",€440.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del León, 32, Huertas-Cortes, Madrid",€289.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Mar de Aral, 11, Pinar del Rey, Madrid",€399.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Molino de Viento, Malasaña-Universidad, Madrid",€490.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Monasterio de Poblet, Pau de Carabanchel, Madrid",€380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Peso Hispano, 14, Pau de Carabanchel, Madrid",€639.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Poeta Joan Maragall, Cuatro Caminos, Madrid",€2.875.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Príncipe de Vergara, Goya, Madrid",€4.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Príncipe de Vergara, Lista, Madrid",€3.740.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Príncipe de Vergara, Nueva España, Madrid",€849.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Príncipe de Vergara, Recoletos, Madrid",€1.870.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Teniente Coronel Noreña, 22, Legazpi, Madrid",€1.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Torpedero Tucumán, Nueva España, Madrid",€950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle del Tranvia de Arganda, 14, Palomeras sureste, Madrid",€398.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Doctor Balmis, 45, Aravaca, Madrid",€1.415.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Doctor Balmis, Aravaca, Madrid",€785.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Dodge, 3, Orcasitas, Madrid",€355.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Durazno, 9, Puerta Bonita, Madrid",€412.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Eduardo Dato, Almagro, Madrid",€7.250.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Embalse de Valmayor, Ensanche de Vallecas - La Gavia, Madrid",€475.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Emilio Raboso, 3, San Diego, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Emilio Raboso, San Diego, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Ferenc Puskas, El Cañaveral, Madrid",€609.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Francisco Salas, 25, Bellas Vistas, Madrid",€560.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Germán Pérez Carrasco, 40, Quintana, Madrid",€938.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Grañón, 20, Las Tablas, Madrid",€397.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Helsinki, Rosas, Madrid",€460.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Hernández de Tejada, 10, San Pascual, Madrid",€1.320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Ignacio Santos Vinuelas, 19, Los Rosales, Madrid",€245.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Imperial, Sol, Madrid",€1.839.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Javier Ferrero, 1, Ciudad Jardín, Madrid",€2.012.998,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Jorge Juan, 171, Fuente del Berro, Madrid",€5.200.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle José Antonio Zapata, Legazpi, Madrid",€576.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle José María de Castro, Cuatro Caminos, Madrid",€499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle José María Lozano Sáinz, 11, Los Ángeles, Madrid",€1.277.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Julia Nebot, Vista Alegre, Madrid",€255.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle la Escuela de Vallecas, 58, Ensanche de Vallecas - La Gavia, Madrid",€546.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Laguna del Marquesado, 9, Villaverde Alto, Madrid",€300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Lenguas, 18, Villaverde Alto, Madrid",€270.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Lenguas, 22, Villaverde Alto, Madrid",€220.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Mariano Carderera, Puerta del Ángel, Madrid",€577.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Mata del Agua, 4, Casco Histórico de Vallecas, Madrid",€398.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Mayor, 35, Sol, Madrid",€825.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Monasterio de Montesclaros, 7, Montecarmelo, Madrid",€890.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Müller, 21, Valdeacederas, Madrid",€460.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Narváez, 30, Ibiza, Madrid",€2.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Noray, 15, Alameda de Osuna, Madrid",€340.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Numancia, Bellas Vistas, Madrid",€1.750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Padilla, 66, Lista, Madrid",€3.300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Peñalara, 39, Aravaca, Madrid",€1.090.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Población de Campos, 25, Las Tablas, Madrid",€740.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Prim, Chueca-Justicia, Madrid",€695.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Puerto de Maderi, San Diego, Madrid",€249.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Rafael Vega, 7, 9, Canillas, Madrid",€407.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Rafael Vega, 7, Canillas, Madrid",€407.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Ramón Pulido, s/n, Peñagrande, Madrid",€1.399.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Rio Matarrañán, s/n, Salvador, Madrid",€326.030,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle San Juan de Ortega, 18, Las Tablas, Madrid",€700.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle San Juan de Ortega, 34, Las Tablas, Madrid",€1.198.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle San Juan de Ortega, Las Tablas, Madrid",€7.842.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Santa Engracia, 96, Almagro, Madrid",€1.809.522,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Sauco, 19, Berruguete, Madrid",€389.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Secoya, 3, Pau de Carabanchel, Madrid",€1.190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Tántalo, Butarque, Madrid",€339.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Toledo, 23, Sol, Madrid",€300.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Trole, Palomeras sureste, Madrid",€550.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Urano, 22, Casco Histórico de Barajas, Madrid",€190.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Valle de Pas, 26, Aravaca, Madrid",€750.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Vicente Martín Arias, Comillas, Madrid",€320.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Witerico, 17, Puerta Bonita, Madrid",€499.990,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle Zamenhof, 22, Salvador, Madrid",€1.870.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Carmen Bordiú, 22, Villaverde Alto, Madrid",€485.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Carmen, 16, Sol, Madrid",€405.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Carrera de San Jerónimo, Huertas-Cortes, Madrid",€1.150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Carrera de San Jerónimo, Sol, Madrid",€1.025.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Casco Histórico de Vicálvaro, Madrid",€990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Castellana, Madrid",€52.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Cerro del Campo, 31, El Cañaveral, Madrid",€379.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Chueca-Justicia, Madrid",€13.189.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Ciudad Rodrigo, 2, Sol, Madrid",€650.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Ciudad Universitaria, Madrid",€2.408.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Colina, Madrid",€1.148.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Comillas, Madrid",€360.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Conde Orgaz-Piovera, Madrid",€5.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Costillares, Madrid",€1.790.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en crisantemo, Valdeacederas, Madrid",€370.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Cuatro Caminos, Madrid",€12.058.980,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en cuesta de Javalquinto, Palacio, Madrid",€1.499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en cuesta de San Vicente, Argüelles, Madrid",€990.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en de la Democracia, 26, Santa Eugenia, Madrid",€455.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en de la Huerta del Obispo, Berruguete, Madrid",€395.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en de los Robles, San Diego, Madrid",€894.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en de Pedro Díez, 7, San Isidro, Madrid",€1.422.900,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en del Este, 30, Los Berrocales, Madrid",€1.005.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en del Platino, Los Rosales, Madrid",€194.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Dr. Balmis, 45, Aravaca, Madrid",€1.415.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en El Viso, Madrid",€26.960.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Ensanche de Vallecas - La Gavia, Madrid",€299.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Estrella, Madrid",€1.380.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Eugenia de Montijo, 73, Puerta Bonita, Madrid",€299.630,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Fernández Caro, 7, Concepción, Madrid",€1.077.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Fernando Mora, 10, San Isidro, Madrid",€325.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Fernando Mora, 8, San Isidro, Madrid",€311.700,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Filosofa Simone Well, 10, Numancia, Madrid",€459.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Fuente del Berro, Madrid",€1.735.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Gaztambide, Madrid",€4.120.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en glorieta de Rubén Darío, Almagro, Madrid",€1.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en glorieta de Ruiz Giménez, Malasaña-Universidad, Madrid",€1.150.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Gomez de Arteche, 27, Buena Vista, Madrid",€775.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en González Soto, 21, Numancia, Madrid",€338.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Goya, Madrid",€18.854.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Guindalera, Madrid",€7.695.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Huertas-Cortes, Madrid",€8.535.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Ibiza, Madrid",€3.090.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Indalecio Fernández, 40, 12 de Octubre-Orcasur, Madrid",€1.040.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Jardín de San Federico, 3, Goya, Madrid",€1.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Jerónimos, Madrid",€1.775.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Juan de Vera, 13, Delicias, Madrid",€570.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Las Tablas, Madrid",€5.039.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Lavapiés-Embajadores, Madrid",€1.160.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Lista, Madrid",€9.715.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Los Berrocales, s/n, Los Berrocales, Madrid",€1.527.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Los Cármenes, Madrid",€290.500,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Malasaña-Universidad, Madrid",€5.688.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Mirasierra, Madrid",€4.655.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Montecarmelo, 1, Montecarmelo, Madrid",€940.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Niño Jesús, Madrid",€3.754.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Nueva España, Madrid",€8.865.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Nuevos Ministerios-Ríos Rosas, Madrid",€5.580.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Orquideas, 11, Valdeacederas, Madrid",€499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Palacio, Madrid",€2.085.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Palomas, Madrid",€5.950.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en Palos de la Frontera, Madrid",€1.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en paseo de Eduardo Dato, Almagro, Madrid",€13.170.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en paseo de Extremadura, Puerta del Ángel, Madrid",€1.240.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en paseo de la Castellana, Cuzco-Castillejos, Madrid",€4.185.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en paseo de la Castellana, El Viso, Madrid",€7.900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en paseo de la Castellana, s/n, Bernabéu-Hispanoamérica, Madrid",€3.000.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en paseo de las Delicias, 42, Palos de la Frontera, Madrid",€2.737.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en paseo de los Melancólicos, 18, Imperial, Madrid",€560.000,,,,,,,,,,,,,,,,,,,,,,,
