zona,SUM de PrecioActual,,habitaciones,COUNTA de titulo,,,COUNTA de titulo,zona,,,,,,,,,,,,,,,,,,,,
arganzuela,€182.141.969,,1,"14,44%",,,provincia,arganzuela,barajas,barrio-de-salamanca,carabanchel,centro,chamartin,chamberi,ciudad-lineal,fuencarral,hortaleza,latina,moncloa,moratalaz,puente-de-vallecas,retiro,san-blas,tetuan,usera,vicalvaro,villa-de-vallecas,villaverde
,,,,"Ático en calle de Fray Ceferino González, Lavapiés-Embajadores, Madrid",€530.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Fuencarral, Chueca-Justicia, Madrid",€2.790.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Fuencarral, Malasaña-Universidad, Madrid",€1.980.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Fuentespina, Santa Eugenia, Madrid",€580.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de García de Paredes, Trafalgar, Madrid",€1.900.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Granada, Pacífico, Madrid",€470.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Gutenberg, Pacífico, Madrid",€465.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Guzmán el Bueno, Gaztambide, Madrid",€2.499.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Hermosilla, 77, Goya, Madrid",€795.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Hermosilla, Goya, Madrid",€1.225.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Hermosilla, Recoletos, Madrid",€7.500.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Herreros de Tejada, 20, Bernabéu-Hispanoamérica, Madrid",€1.350.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Higinio Rodríguez, 62, Palomeras Bajas, Madrid",€227.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Hilarión Eslava, Gaztambide, Madrid",€2.034.000,,,,,,,,,,,,,,,,,,,,,,,
,,,,"Ático en calle de Hortaleza, Chueca-Justicia, Madrid",€409.000,,,,,,,,,,,,,,,,,,,,,,,
